title,gener,year,rating,duration,directors,writers,lead_actors,release_date,locations,user_reviews,critic_reviews,meta_score,url
The Valentine Girl,"Drama,Romance",1917,,,J. Searle Dawley,,"Marguerite Clark,Frank Losee,Richard Barthelmess","April 22, 1917 (United States)",,1,,,https://www.imdb.com/title/tt0008726/?ref_=adv_li_tt
His Father's Wife,Drama,1919,,,Frank Hall Crane,,"June Elvidge,Sam Hardy,Malcolm Fassatt","September 8, 1919 (United States)",,,,,https://www.imdb.com/title/tt0205129/?ref_=adv_li_tt
Le retour du passé,Drama,1916,,,Léonce Perret,,,1916 (France),,,,,https://www.imdb.com/title/tt0438366/?ref_=adv_li_tt
Fräulein Zahnarzt,,1919,,,Joe May,,"Bamboula,Wilhelm Diegelmann,Charles Willy Kayser","October 15, 1919 (Denmark)",,,,,https://www.imdb.com/title/tt0157674/?ref_=adv_li_tt
The Great Gamble,Mystery,1919,Passed,5h 10m,Joseph A. Golden,,"Charles Hutchison,Anna Luther,Richard Neill","August 3, 1919 (United States)",,,,,https://www.imdb.com/title/tt0010189/?ref_=adv_li_tt
Let's Elope,Comedy,1919,,,John S. Robertson,,"Marguerite Clark,Frank Mills,Gaston Glass","April 23, 1919 (United States)",,,,,https://www.imdb.com/title/tt0010350/?ref_=adv_li_tt
Rose of Nome,Drama,1920,,,Edward LeSaint,,"Gladys Brockwell,William Scott,Herbert Prior",August 1920 (United States),,,,,https://www.imdb.com/title/tt0011644/?ref_=adv_li_tt
Der Fall Grehn,"Crime,Drama",1916,,,William Kahn,,"Conrad Barden,Gernot Bock-Stieber,Otto Collet","May 1, 1916 (Germany)",,,,,https://www.imdb.com/title/tt6121370/?ref_=adv_li_tt
The Secret Code,"Drama,War",1918,,,Albert Parker,,"Gloria Swanson,J. Barney Sherry,Rhy Alexander","September 8, 1918 (United States)",,,,,https://www.imdb.com/title/tt0009593/?ref_=adv_li_tt
Die falsche Asta Nielsen,,1915,,,Urban Gad,,,"December 10, 1915 (Germany)",,1,,,https://www.imdb.com/title/tt0132146/?ref_=adv_li_tt
The Glorious Adventure,Drama,1918,,,Hobart Henley,,"Mae Marsh,Wyndham Standing,Sara Alexander","July 14, 1918 (United States)",,1,,,https://www.imdb.com/title/tt0009116/?ref_=adv_li_tt
A Little Brother of the Rich,Drama,1915,,,Otis Turner,,"Hobart Bosworth,Jane Novak,J. Edwin Brown","September 6, 1915 (United States)",,,,,https://www.imdb.com/title/tt0005624/?ref_=adv_li_tt
Das Millionen-Halsband,,1914,,,Eugen Illés,,"Alexander Antalffy,Heinrich Liebmann,Erna Morena",,,,,,https://www.imdb.com/title/tt0241726/?ref_=adv_li_tt
The Girl and the Game,Action,1916,,,J.P. McGowan,,"Helen Holmes,Leo D. Maloney,J.P. McGowan","January 2, 1916 (United States)",,1,,,https://www.imdb.com/title/tt0005389/?ref_=adv_li_tt
The Family Honor,Drama,1920,,,King Vidor,,"Florence Vidor,Roscoe Karns,Ben Alexander","March 15, 1920 (United States)",,1,,,https://www.imdb.com/title/tt0011172/?ref_=adv_li_tt
The Microscope Mystery,"Comedy,Drama,Mystery",1916,,,Paul Powell,,"Wilfred Lucas,Constance Talmadge,F.A. Turner","November 19, 1916 (United States)",,,,,https://www.imdb.com/title/tt0007061/?ref_=adv_li_tt
Baby Mine,Comedy,1917,,,Hugo Ballin,,"Madge Kennedy,Kathryn Adams,John Cumberland","September 23, 1917 (United States)",,,,,https://www.imdb.com/title/tt0007671/?ref_=adv_li_tt
Giuliano l'apostata,"Biography,Drama,History",1919,,,Ugo Falena,,,September 1919 (Italy),,,,,https://www.imdb.com/title/tt0925087/?ref_=adv_li_tt
"Salambo, a $100,000 Spectacle",,1914,,,Domenico Gaido,,,"March 3, 1915 (United States)",,3,,,https://www.imdb.com/title/tt0822021/?ref_=adv_li_tt
Hotel Imperial,,1918,,,Jenö Janovics,,"Andor Szakács,Bertalan Pálfy,Ödön Réthely","November 12, 1918 (Hungary)",,,,,https://www.imdb.com/title/tt0242533/?ref_=adv_li_tt
The Rose of Blood,Drama,1917,,,J. Gordon Edwards,,"Theda Bara,Genevieve Blinn,Charles Clary","November 4, 1917 (United States)",,,,,https://www.imdb.com/title/tt0008521/?ref_=adv_li_tt
Arme Thea,,1919,,,Carl Froelich,,,Maxim-Film GmbH,,,,,https://www.imdb.com/title/tt0009884/?ref_=adv_li_tt
The Road Through the Dark,Drama,1918,,,Edmund Mortimer,,"Clara Kimball Young,Jack Holt,Henry Woodward",November 1918 (United States),,,,,https://www.imdb.com/title/tt0009555/?ref_=adv_li_tt
What Every Woman Wants,Drama,1919,,,Jesse D. Hampton,,"Wilfred Lucas,Grace Darmond,Forrest Stanley","February 23, 1919 (United States)",,,,,https://www.imdb.com/title/tt0194528/?ref_=adv_li_tt
Miraklet,Drama,1913,,,Victor Sjöström,,"Carl Borin,John Ekman,Justus Hagman","December 1, 1913 (Sweden)",,,,,https://www.imdb.com/title/tt0003150/?ref_=adv_li_tt
Nelly - 2. Teil,,1914,,,Willy Zeyn,,,"July 17, 1914 (Germany)",,,,,https://www.imdb.com/title/tt1180805/?ref_=adv_li_tt
The Adventure Shop,"Adventure,Comedy,Crime",1919,,,Kenneth S. Webb,,"Corinne Griffith,Walter McGrail,Warren Chandler","January 6, 1919 (United States)",,,,,https://www.imdb.com/title/tt0008817/?ref_=adv_li_tt
Overland Red,Western,1920,,,Lynn Reynolds,,"Harry Carey,Charles Le Moyne,Harold Goodwin","March 22, 1920 (United States)",,,,,https://www.imdb.com/title/tt0011550/?ref_=adv_li_tt
The Firefly,Drama,1913,,,Einar Zangenberg,,,November 1913 (United States),,1,,,https://www.imdb.com/title/tt0003002/?ref_=adv_li_tt
Her Double Life,Drama,1916,,,J. Gordon Edwards,,"Theda Bara,Franklyn Hanna,Stuart Holmes","September 10, 1916 (United States)",,,,,https://www.imdb.com/title/tt0006788/?ref_=adv_li_tt
